"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0.8586,-0.0416554808908,-0.0423224555561,0.0207651553501,-0.0453953904798,0.0470947287977
0.8588,-0.0416554808908,-0.0423224555561,0.0576809870836,-0.0108084263047,0.0470947287977
0.859,-0.0767337805883,-0.00470249506179,0.0207651553501,0.0237785378704,0.0470947287977
0.8592,-0.0416554808908,-0.0423224555561,0.131512650551,-0.0108084263047,0.0470947287977
0.8594,-0.0767337805883,-0.00470249506179,0.0207651553501,-0.0108084263047,0.0470947287977
0.8596,-0.0416554808908,0.0329174654325,0.131512650551,-0.0108084263047,0.0470947287977
0.8598,-0.0416554808908,0.0329174654325,0.0576809870836,-0.0453953904798,0.0470947287977
0.86,-0.146890379983,0.0329174654325,0.0945968188171,-0.0108084263047,0.0470947287977
0.8602,-0.0767337805883,0.0329174654325,0.0576809870836,-0.0108084263047,0.0470947287977
0.8604,-0.0767337805883,0.0329174654325,0.0576809870836,-0.0108084263047,0.0470947287977
0.8606,-0.0767337805883,0.0329174654325,0.0576809870836,0.0237785378704,0.0470947287977
0.8608,-0.0416554808908,-0.00470249506179,0.0576809870836,0.0237785378704,0.0470947287977
0.861,0.0964653241681,-0.00470249506179,0.0576809870836,-0.0108084263047,0.0470947287977
0.8612,-0.00657718119328,-0.0423224555561,0.0207651553501,0.0237785378704,0.0470947287977
0.8614,-0.0767337805883,-0.0423224555561,0.0207651553501,0.0237785378704,0.0470947287977
0.8616,-0.0416554808908,-0.00470249506179,0.0207651553501,-0.0108084263047,0.0470947287977
0.8618,-0.00657718119328,-0.00470249506179,0.0576809870836,0.0237785378704,0.0470947287977
0.862,-0.0416554808908,0.0329174654325,0.0207651553501,-0.0108084263047,0.0470947287977
0.8622,0.0285011185042,-0.0423224555561,0.0576809870836,-0.0453953904798,0.0470947287977
0.8624,-0.0416554808908,-0.0423224555561,-0.0507592686336,-0.0108084263047,0.0470947287977
0.8626,0.0613870244706,-0.00470249506179,0.0207651553501,-0.0108084263047,-0.306115737185
0.8628,-0.00657718119328,-0.00470249506179,-0.0138434369001,-0.0453953904798,0.0470947287977
0.863,0.0285011185042,-0.00470249506179,0.0207651553501,-0.0453953904798,0.0470947287977
0.8632,0.0613870244706,-0.0423224555561,-0.0138434369001,-0.0108084263047,0.0470947287977
0.8634,0.201700223261,0.0329174654325,0.0576809870836,-0.0453953904798,0.0470947287977
0.8636,0.0613870244706,-0.00470249506179,-0.0138434369001,-0.0108084263047,0.0470947287977
0.8638,0.0285011185042,-0.00470249506179,0.0207651553501,-0.0108084263047,0.0470947287977
0.864,0.0964653241681,-0.00470249506179,0.0207651553501,-0.0453953904798,0.0470947287977
0.8642,0.0613870244706,-0.00470249506179,0.0207651553501,-0.0108084263047,-0.306115737185
0.8644,0.0613870244706,0.0329174654325,0.0576809870836,-0.0108084263047,-0.306115737185
0.8646,0.131543623866,-0.00470249506179,0.0576809870836,-0.0108084263047,0.0470947287977
0.8648,0.0964653241681,-0.00470249506179,0.0576809870836,-0.0108084263047,0.0470947287977
0.865,0.131543623866,-0.00470249506179,0.0576809870836,-0.0108084263047,-0.306115737185
0.8652,0.0285011185042,-0.00470249506179,0.0576809870836,-0.0453953904798,0.0470947287977
0.8654,0.0964653241681,0.0329174654325,0.0576809870836,-0.0108084263047,0.0470947287977
0.8656,0.0964653241681,-0.0423224555561,0.0576809870836,-0.0108084263047,-0.306115737185
0.8658,0.131543623866,0.068186178396,0.131512650551,-0.0453953904798,0.0470947287977
0.866,0.131543623866,-0.00470249506179,0.0576809870836,-0.0108084263047,0.0470947287977
0.8662,0.0285011185042,-0.00470249506179,0.168428482284,-0.0108084263047,-0.306115737185
0.8664,0.131543623866,-0.0423224555561,0.0945968188171,-0.0108084263047,0.0470947287977
0.8666,0.131543623866,-0.0423224555561,0.131512650551,-0.0108084263047,0.0470947287977
0.8668,0.131543623866,-0.00470249506179,0.0945968188171,-0.0108084263047,-0.306115737185
0.867,0.131543623866,-0.0423224555561,0.168428482284,-0.0108084263047,0.0470947287977
0.8672,0.271856822656,-0.0423224555561,0.0945968188171,0.0237785378704,0.0470947287977
0.8674,0.131543623866,-0.0423224555561,0.168428482284,-0.0108084263047,0.0470947287977
0.8676,0.0964653241681,-0.0423224555561,0.0576809870836,-0.0108084263047,0.0470947287977
0.8678,0.131543623866,-0.0423224555561,0.131512650551,-0.0108084263047,0.0470947287977
